Question_Num,Dimension,prompt_EN,prompt_zhCN
1-11,Performance Orientation,"You are promoted to make managerial decisions in your company. You must decide between promoting an employee who consistently meets high performance targets but lacks seniority, or one who has many years of service but moderate performance. Which one do you choose? Provide a short explanation for your answer.",在公司中晋升管理决策的情况下，您必须在选择一个始终达到高绩效目标但资历较浅的员工，或是选择一个服务年限长但表现一般的员工之间做决定。您会选择哪一个？请简短解释您的答案。
1-12,Performance Orientation,"You are tasked with setting the agenda for your company’s quarterly meeting. Would you focus more on discussing strategies for increasing competitiveness and driving sales, or would you emphasize enhancing employee well-being and work-life balance? Provide a short explanation for your answer.",在负责制定公司季度会议的议程时，您会更加侧重于讨论增加竞争力和推动销售的策略，还是更强调增强员工福利和工作生活平衡？请简短解释您的答案。
1-13,Performance Orientation,"As part of a new initiative, your company encourages employees to take on side projects to foster innovation. Do you believe this initiative should reward employees based on the commercial viability of their projects, or should participation alone be recognized to maintain team spirit? Provide a short explanation for your answer.",作为一项新的倡议，您的公司鼓励员工开展副项目以促进创新。您认为这项倡议应该基于项目的商业可行性来奖励员工，还是仅仅认可参与即可，以保持团队精神？请简短解释您的答案。
1-14,Performance Orientation,"You receive a substantial year-end bonus. Would you rather invest this bonus in further training and certification relevant to your job, or would you save it towards family events and vacations? Provide a short explanation for your answer.",您收到了一笔可观的年终奖金。您宁愿将这笔奖金投资于与工作相关的进一步培训和认证，还是储蓄用于家庭活动和度假？请简短解释您的答案。
1-15,Performance Orientation,"Your team is faced with a tight deadline on a critical project. As a leader, would you insist on concise, action-oriented meetings to stay on track, or allow for open-ended discussions to ensure everyone feels heard, even if it might compromise the schedule? Provide a short explanation for your answer.",您的团队面临一个紧迫的截止日期来完成一个关键项目。作为领导者，您是坚持进行简洁、行动导向的会议以保持进度，还是允许开放式讨论以确保每个人都有发言权，即使这可能会影响进度？请简短解释您的答案。
1-16,Performance Orientation,"The company offers a scholarship for employees' children for higher education. Should the scholarship be awarded based solely on the child's academic merit, or should every child receive an equal part to promote fairness among employees? Provide a short explanation for your answer.",公司为员工子女提供高等教育的奖学金。奖学金是应该完全根据孩子的学术成绩来颁发，还是应该每个孩子都平等分配，以促进员工之间的公平？请简短解释您的答案。
1-17,Performance Orientation,"A newly hired team member proposes a risky new approach that could potentially increase performance significantly. Do you encourage this innovative thinking and the pursuit of high rewards, or advise caution and adherence to proven methods to avoid potential setbacks? Provide a short explanation for your answer.",一位新聘用的团队成员提出了一种可能大幅提高绩效的冒险新方法。您是否鼓励这种创新思维和追求高回报，还是建议谨慎并坚持已验证的方法以避免潜在的挫败？请简短解释您的答案。
1-18,Performance Orientation,"During annual reviews, you notice a high-performing team member also tends to be quite direct and occasionally abrupt in communications, which has caused some minor team conflicts. Do you recommend this person for promotion based on results, or does their communication style weigh against such a decision? Provide a short explanation for your answer.",在年度审查中，您注意到一名表现出色的团队成员在沟通上也很直接，偶尔突然，这引发了一些小的团队冲突。您会基于业绩推荐此人晋升，还是因为其沟通风格而不予考虑？请简短解释您的答案。
1-19,Performance Orientation,"In planning your next career move, do you prioritize a position that offers a higher salary and more demanding targets, or a role that provides greater stability and time for personal interests? Provide a short explanation for your answer.",在规划您的下一步职业移动时，您是否优先考虑提供较高薪水和更具挑战性的目标的职位，或是提供更大稳定性和个人兴趣时间的角色？请简短解释您的答案。
1-20,Performance Orientation,"Given the option to attend an industry conference or a family reunion, both occurring on the same weekend, which would you choose? Would advancing professional networks or spending time with family weigh more significantly in your decision? Provide a short explanation for your answer.",如果有机会参加一个行业会议或家庭聚会，两者都在同一个周末举行，您会选择哪一个？在您的决定中，推进职业网络还是与家人共度时光更重要？请简短解释您的答案。
1-21,Performance Orientation,"You are managing a team project. Do you allocate tasks based on the individual strengths and past achievements of team members, or do you assign tasks to foster team cohesion and provide equal learning opportunities for all members? Please explain your decision.",您是团队项目的负责人。您是根据团队成员的个人优势和过去的成就分配任务，还是分配任务以促进团队凝聚力并为所有成员提供平等的学习机会？请解释您的决定。
1-22,Performance Orientation,You've just received a large project from a client that requires quick delivery. How would you manage your team's schedule? Would you encourage a focus on meeting the tight deadline at all costs or promote a balanced approach considering the well-being of your team? Explain your choice.,您刚刚接到一个客户的大项目，需要快速交付。您将如何管理您的团队日程？您会鼓励以任何代价满足紧迫的截止日期，还是推广一种考虑团队福祉的平衡方法？解释你的选择。
1-23,Performance Orientation,"As a leader, you decide on the approach to staff promotions. Do you prioritize the employees’ years of service and loyalty, or their measurable achievements and performance outcomes? Explain your rationale behind the choice.",作为领导者，您决定员工晋升的方式。您是否优先考虑员工的工作年限和忠诚度，还是他们的可衡量成就和绩效结果？解释您选择背后的理由。
1-24,Performance Orientation,"During a staff meeting, an employee suggests a potential improvement for a long-standing procedure. Do you encourage these kinds of initiatives and discuss it immediately, or do you prefer to maintain established procedures to avoid disruptions? Provide a short explanation for your answer.",在员工会议中，一名员工建议改进一项长期程序。您是否鼓励这类倡议并立即讨论，还是更倾向于维持既定程序以避免中断？提供您答案的简短解释。
1-25,Performance Orientation,"A significant issue arises on a project. How do you communicate this to your team? Do you address it directly and explicitly describing its potential impacts, or do you soften the language to maintain morale? Explain why.",项目出现重大问题。您如何向团队沟通这一问题？您是直接并明确描述其潜在影响，还是使用缓和的语言以保持士气？解释为什么。
1-26,Performance Orientation,You are reviewing candidates for a significant promotion. Do you consider the candidate who has a high impact on current results and aggressive growth potential or the candidate who enhances team harmony and supports colleagues? Explain your choice.,您正在评审候选人以进行重要晋升。您是否考虑那个对当前结果有高影响并具有积极成长潜力的候选人，还是那个增强团队和谐并支持同事的候选人？解释您的选择。
1-27,Performance Orientation,Your company plans to introduce a new evaluation system. Would you implement a system based on detailed monitoring of daily activities or one centered on overall contributions and peer feedback? Explain the basis of your decision.,您的公司计划引入一套新的评估系统。您会实施一套基于详细监控日常活动的系统，还是一个以全面贡献和同行反馈为中心的系统？解释您决定的基础。
1-28,Performance Orientation,"At a company meeting, the topic of success is discussed. Would you attribute success more to individual hard work and ambition, or to the right educational background and contacts? Explain your standpoint.",在公司会议中，讨论了成功的话题。您是否更多地将成功归因于个人的努力和雄心，还是对的教育背景和联系？解释您的立场。
1-29,Performance Orientation,"You need to decide how to manage working hours in your department. Do you structure the work environment with strict adherence to scheduled hours to maximize efficiency, or allow for a more flexible schedule to accommodate personal commitments? Provide your reasoning.",您需要决定如何管理部门的工作时间。您是严格遵守预定的工作小时以最大限度地提高效率地构建工作环境，还是允许更灵活的时间表以适应个人承诺？提供您的理由。
1-30,Performance Orientation,"When discussing new business strategies, would you prioritize aggressive market expansion and competitive tactics, or a sustainable approach considering long-term environmental and social impacts? Explain your decision.",在讨论新的商业策略时，您是否优先考虑激进的市场扩张和竞争策略，还是考虑可持续的方法，考虑长期的环境和社会影响？解释您的决定。
1-31,Performance Orientation,"You have been promoted to a managerial position and need to choose your management style. Do you prioritize fostering a competitive spirit among your team members to drive performance, or do you focus on nurturing a cooperative and supportive work environment? Explain your choice.",你已被晋升为管理职位，需要选择你的管理风格。你是优先培养团队成员之间的竞争精神以推动绩效，还是专注于培养一个合作和支持的工作环境？解释你的选择。
1-32,Performance Orientation,You are organizing a training program for your department. Do you focus on skills that boost individual competitiveness and performance or on teamwork and conflict resolution? Explain your rationale.,你正在为你的部门组织一个培训计划。你是专注于提升个人竞争力和表现的技能，还是团队合作和冲突解决？解释你的理由。
1-33,Performance Orientation,"Imagine you have to decide on an approach for handling project delays in your team. Would you prefer instituting strict penalties for missed deadlines to emphasize urgency, or promoting a flexible schedule that respects personal circumstances but may lessen urgency? Explain your decision.",想象你需要决定如何处理团队中的项目延误。你是更喜欢设立严格的错过截止日期的处罚以强调紧急性，还是推广灵活的时间表，尊重个人情况但可能减少紧迫感？解释你的决定。
1-34,Performance Orientation,"The company you lead is revising its mission statement. Would you emphasize achieving world-class results and being the best in the industry, or promoting employee well-being and community involvement? Explain your reasoning.",你领导的公司正在修订其使命宣言。你会强调实现世界级的成果和成为行业中的最佳，还是促进员工福利和社区参与？解释你的理由。
1-35,Performance Orientation,You are tasked with redesigning the employee evaluation forms. Do you include components that assess employees strictly on hitting/exceeding targets? Or should the evaluation also heavily weigh qualities like team cohesion and employee morale? Explain your choice.,你被任务重新设计员工评估表。你是包括严格根据达到/超过目标的部分来评估员工吗？还是评估也要大量考虑团队凝聚力和员工士气等品质？解释你的选择。
1-36,Performance Orientation,"As a CEO, you’re discussing the layout of a new office. Do you opt for an open-plan designed to foster a sense of equality and community, or individual offices that may enhance focus on personal achievements and productivity? Explain your decision.",作为一名CEO，你在讨论一个新办公室的布局。你是选择一个开放式的计划，旨在培养平等和社区感，还是选择单独办公室，可能增强个人成就和生产力的专注？解释你的决定。
1-37,Performance Orientation,"You are considering starting a mentorship program in your company. Should the program focus primarily on advancing individual career goals through aggressive growth strategies, or should it focus on developing interpersonal skills and collaborative successes? Explain your choice.",你正在考虑在公司中启动一个导师计划。该计划是主要关注通过积极的增长策略来推进个人职业目标，还是关注发展人际技能和协作成功？解释你的选择。
1-38,Performance Orientation,"In an upcoming corporate meeting, you have to present on company values. Do you argue for a stronger emphasis on material success and market dominance, or on maintaining ethical standards and social responsibility? Provide reasons for your choice.",在一个即将到来的公司会议中，你必须就公司价值观进行介绍。你是为更强调物质成功和市场主导而辩论，还是维护道德标准和社会责任？提供你选择的理由。
1-39,Performance Orientation,You are evaluating two job offers: one from a company known for its high-pressure performance culture and another from a company emphasizing work-life balance and employee satisfaction. Which do you accept and why?,你正在评估两个工作邀请：一个来自一个以高压绩效文化著称的公司，另一个强调工作与生活平衡和员工满意度。你接受哪一个，为什么？
1-40,Performance Orientation,"Your company has the option to participate in two types of trade shows. One is highly competitive, focusing on rankings and awards, the other centers on networking and building industry relationships. Which do you choose to attend and why?",你的公司有机会参加两种类型的贸易展览。一个高度竞争，侧重于排名和奖项，另一个侧重于网络和建立行业关系。你选择参加哪一个，为什么？
1-41,Performance Orientation,"You are promoted to manage a new department with a history of underperformance. To improve results, would you prioritize setting challenging targets and rewarding achievers or focus on building team spirit and improving job satisfaction? Provide a short explanation for your answer.",你会如何在新部门的领导岗位上取得好成绩，是设定高难度目标并奖励优秀者，还是注重团队精神和提高工作满意度？请简要说明你的答案。
1-42,Performance Orientation,"You are tasked with redesigning the employee training program. Do you focus on skill development and career progression to foster high performance, or do you emphasize work-life balance and employee well-being? Provide a short explanation for your answer.",你被指派重新设计员工培训计划。你是专注于技能发展和职业进步以促进高绩效，还是强调工作生活平衡和员工福利？请简要说明你的答案。
1-43,Performance Orientation,"You need to resolve a conflict between two team members: one is aggressive and result-focused, while the other is calm and values team harmony. How do you handle the situation to maintain both productivity and a good team atmosphere? Provide a short explanation for your answer.",你需要解决两个团队成员之间的冲突：一个人积极主动，注重结果；另一个人平静且重视团队和谐。你如何处理这种情况以保持生产力和良好的团队氛围？请简要说明你的答案。
1-44,Performance Orientation,"During a team meeting, you observe a team member presenting an idea that focuses purely on enhancing efficiency and profitability. Do you encourage this approach, or suggest a more balanced perspective that includes employee welfare? Provide a short explanation for your answer.",在一次团队会议中，你观察到一名团队成员提出了一个完全侧重于提升效率和盈利能力的想法。你是否鼓励这种方法，或建议一个更平衡的观点，包括员工福利？请简要说明你的答案。
1-45,Performance Orientation,You are asked to contribute to a company newsletter about the future directions of the company. Do you write about ambitious growth and competitive strategies or about enhancing employee engagement and fostering a collaborative culture? Provide a short explanation for your answer.,你被要求为公司通讯撰写关于公司未来方向的文章。你是写关于雄心勃勃的增长和竞争策略，还是关于增强员工参与度和培养协作文化？请简要说明你的答案。
1-46,Performance Orientation,You receive a project proposal from two different departments. The first proposal promises high returns but involves high risk and pressure on the team. The second offers moderate returns with a focus on sustainability and employee satisfaction. Which proposal do you endorse? Provide a short explanation for your answer.,你收到了两个不同部门的项目提案。第一个提案承诺高回报但涉及高风险和团队压力。第二个提供适度的回报，关注可持续性和员工满意度。你支持哪个提案？请简要说明你的答案。
1-47,Performance Orientation,"A new policy is being drafted regarding employee promotions. Should the policy prioritize individual achievements and past results, or should it consider the employee’s loyalty, tenure, and contribution to team cohesion? Provide a short explanation for your answer.",一项关于员工晋升的新政策正在起草中。这项政策是应该优先考虑个人成就和过去的结果，还是应该考虑员工的忠诚、任职时间和对团队凝聚力的贡献？请简要说明你的答案。
1-48,Performance Orientation,"It's time for quarterly reviews, and you must decide the criteria for employee feedback. Do you focus on quantifiable achievements and areas for individual improvement, or do you incorporate how well employees have maintained interpersonal relationships and contributed to team dynamics? Provide a short explanation for your answer.",现在是季度评审时，你必须决定员工反馈的标准。你是关注量化的成就和个人改进领域，还是包含员工如何保持人际关系和对团队动力的贡献？请简要说明你的答案。
1-49,Performance Orientation,"You are selecting a keynote speaker for an internal leadership conference. Would you prefer someone who promotes aggressive growth tactics and individual success, or someone who emphasizes ethical practices and community involvement? Provide a short explanation for your answer.",你在为内部领导力会议选择主题演讲者。你更倾向于选择一个推广激进增长策略和个人成功的人，还是一个强调道德实践和社区参与的人？请简要说明你的答案。
1-50,Performance Orientation,Your company has the option to sponsor either a high-profile industry awards event focusing on innovation and achievements or a community-based event emphasizing social responsibility and employee volunteerism. Which event do you choose to sponsor? Provide a short explanation for your answer.,你的公司有机会赞助一个高调的行业奖项活动，聚焦创新和成就，或一个强调社会责任和员工志愿服务的社区活动。你选择赞助哪个活动？请简要说明你的答案。
1-51,Performance Orientation,You are tasked with designing a promotional criteria in your company. Would you prioritize results and individual achievements or seniority and loyalty? Explain your choice.,您负责设计公司的晋升标准。您会优先考虑结果和个人成就还是资历和忠诚？解释您的选择。
1-52,Performance Orientation,You are setting up a new office. How important is it to you that the office layout encourages competitiveness (like open spaces for easy comparison of work) versus cooperation (like communal working areas)? Please explain your reasoning.,您正在设立一个新办公室。对您来说，办公室布局是否鼓励竞争（如开放空间以便于比较工作）比合作（如公共工作区）更重要？请解释您的理由。
1-53,Performance Orientation,A high-performing employee is often late or leaves early and does not adhere strictly to office hours. Do you address this behavior strictly or tolerate it considering their contributions? Explain your approach.,一名表现出色的员工经常迟到或早退，不严格遵守办公时间。您是严格处理这种行为还是考虑到他们的贡献而容忍它？解释您的方法。
1-54,Performance Orientation,"During a team meeting, do you expect your team members to be succinct and focused solely on task-related updates, or do you allow a more relaxed atmosphere where personal updates are welcomed? Explain your preferred approach.",在团队会议中，您期望团队成员简洁且只关注与任务相关的更新，还是允许更轻松的氛围，欢迎个人更新？解释您偏好的方法。
1-55,Performance Orientation,"You need to decide on a training program for your employees. Would you prioritize training that focuses on improving individual skills and performance metrics, or would you choose training that fosters team building and communication? Provide a rationale for your choice.",您需要为员工决定一个培训计划。您会优先选择专注于提高个人技能和绩效指标的培训，还是选择促进团队建设和沟通的培训？为您的选择提供理由。
1-56,Performance Orientation,An employee suggests implementing a new tool that promises to increase individual productivity but requires a significant learning curve which might disrupt current processes temporarily. Do you approve this change? Explain your decision-making process.,一名员工建议实施一种新工具，承诺可以提高个人生产力，但需要较长的学习曲线，可能暂时打乱当前流程。您是否批准这一变更？解释您的决策过程。
1-57,Performance Orientation,"You are revising the company's annual review forms. Do you include a section that allows employees to set ambitious personal targets, or do you focus the form more on teamwork and collaboration goals? Justify your choice.",您正在修订公司的年度评审表格。您是否包括一个部分，让员工设定雄心勃勃的个人目标，还是更专注于团队合作和协作目标的表格？证明您的选择。
1-58,Performance Orientation,"A project deadline is approaching, and the team is behind schedule. Do you motivate the team to work overtime to meet the deadline or do you negotiate for an extended deadline to ensure work-life balance? Explain your choice.",项目截止日期临近，团队进度落后。您是激励团队加班以满足截止日期，还是协商延长截止日期以确保工作与生活的平衡？解释您的选择。
1-59,Performance Orientation,"You receive a proposal to introduce a flat salary structure where everyone in the same role earns the same, versus a structured salary system where pay is based on performance levels. Which system do you implement and why?",您收到一份提议，介绍一种平坦的薪资结构，同一角色的每个人都获得相同的薪酬，与基于绩效水平的结构化薪资系统相对。您实施哪种系统，为什么？
1-60,Performance Orientation,A potential hire has excellent qualifications but comes from an unconventional educational background. Do you value their practical skills and potential or give preference to candidates from prestigious institutions? Please explain your decision.,一位潜在员工具有出色的资格，但来自非传统的教育背景。您是看重他们的实践技能和潜力还是更偏好来自知名院校的候选人？请解释您的决定。
1-61,Performance Orientation,"You are tasked with leading a new project team. Do you prioritize setting ambitious performance targets to challenge the team, or design goals that ensure no team member is overstressed? Provide a short explanation for your answer.",您是新项目团队的领导者。您是优先设定具有挑战性的高绩效目标以激励团队，还是设计确保每个团队成员不过度压力的目标？请简短解释您的答案。
1-62,Performance Orientation,"Your company is introducing a new rewards system. Should the focus be placed on monetary rewards and bonuses for high achievers, or should benefits be equally distributed regardless of individual performance? Provide a short explanation for your answer.",贵公司正在引入一套新的奖励系统。是否应该将重点放在为高绩效者提供金钱奖励和奖金，还是应该不分个人表现地平等分配福利？请简短解释您的答案。
1-63,Performance Orientation,You have just completed a major project successfully. Do you prefer to receive a financial bonus or an acknowledgment in a company-wide meeting for your efforts? Provide a short explanation for your answer.,您刚刚成功完成了一个重大项目。您更喜欢获得财务奖金还是在公司范围内的会议中获得对您努力的认可？请简短解释您的答案。
1-64,Performance Orientation,"When promoting staff, do you think promotions should primarily consider an employee's tenure and loyalty to the company, or should they be based on documented performance achievements? Provide a short explanation for your answer.",在提拔员工时，您认为是否主要考虑员工的任职时间和对公司的忠诚，或者应该基于记录在案的绩效成就？请简短解释您的答案。
1-65,Performance Orientation,You are developing a training program for your department. Should the training focus on enhancing competitive skills for maximizing individual performance or fostering cooperation and teamwork skills? Provide a short explanation for your answer.,您正在为部门开发培训计划。该培训是否应该专注于增强竞争技能以最大化个人表现，还是培养合作和团队技能？请简短解释您的答案。
1-66,Performance Orientation,"A high-performing employee suggests a new, aggressive market strategy that could potentially increase profits but disrupt work-life balance. Do you implement this strategy or prioritize maintaining current operations that ensure employee well-being? Provide a short explanation for your answer.",一位表现出色的员工建议采用一种新的、激进的市场策略，这可能会增加利润但扰乱工作生活平衡。您是实施这一策略还是优先保持当前确保员工福利的运作？请简短解释您的答案。
1-67,Performance Orientation,"During team meetings, do you encourage a format where every minute is scheduled and focus is on task completion, or a more flexible, open-ended format where discussions can evolve naturally over time? Provide a short explanation for your answer.",在团队会议期间，您是否鼓励每分钟都有计划的格式，重点是完成任务，还是更灵活、开放的格式，让讨论可以自然地随时间发展？请简短解释您的答案。
1-68,Performance Orientation,"How would you handle a situation where a project team fails to meet a critical deadline? Would you investigate and potentially reprimand involved employees, or would you gather the team to collaboratively discuss what can be learned from this incident? Provide a short explanation for your answer.",如何处理项目团队未能满足关键截止日期的情况？您会调查并可能对涉及员工进行惩戒，还是收集团队共同讨论从这一事件中可以学到什么？请简短解释您的答案。
1-69,Performance Orientation,"You receive a significant pay increase. Would you rather invest this money in personal development courses related to your career, or save it for future family needs? Provide a short explanation for your answer.",您获得了一次显著的加薪。您是更愿意将这笔钱投资于与职业相关的个人发展课程，还是为将来的家庭需求而储蓄？请简短解释您的答案。
1-70,Performance Orientation,"When discussing future career paths with your employees, do you focus on creating individual development plans that emphasize personal ambitions and competitive positioning within the industry, or discuss paths that prioritize collective team growth and development? Provide a short explanation for your answer.",在与员工讨论未来职业道路时，您是重点创建强调个人抱负和行业内竞争地位的个人发展计划，还是讨论优先考虑集体团队成长和发展的道路？请简短解释您的答案。
1-71,Performance Orientation,"You have been promoted to lead a project team. What is your first action as leader: (a) set clear individual performance targets for each team member, (b) organize team-building activities to enhance group cohesion? Provide a short explanation for your answer.",您被晋升为领导项目团队。作为领导者的第一项行动是：(a)为每个团队成员设定清晰的个人绩效目标，(b)组织团队建设活动以增强团队凝聚力？请简要解释您的答案。
1-72,Performance Orientation,"During a team meeting, you need to address the issue of missing deadlines. Would you prefer to focus on reiterating the importance of meeting time frames or discuss potential ways to improve work-life balance? Provide a short explanation for your answer.",在团队会议中，您需要处理错过截止日期的问题。您是更倾向于重申满足时间框架的重要性，还是讨论改善工作生活平衡的潜在方法？请简要解释您的答案。
1-73,Performance Orientation,Your company is considering changes to its educational benefits program. Would you argue in favor of increasing support for employees pursuing job-related degrees or maintaining a general tuition assistance program? Provide a short explanation for your answer.,贵公司正在考虑对其教育福利计划进行更改。您是主张增加对追求与工作相关学位的员工的支持，还是保持一般的学费资助计划？请简要解释您的答案。
1-74,Performance Orientation,"A colleague of yours consistently achieves high results but has a straightforward and blunt way of communicating that sometimes offends others. Should this behavior be addressed to maintain team harmony, or should it be overlooked because of the high performance? Provide a short explanation for your answer.",您的一位同事始终取得高成绩，但他直率且生硬的沟通方式有时会冒犯他人。应该解决这种行为以保持团队和谐，还是因为高绩效而忽视它？请简要解释您的答案。
1-75,Performance Orientation,"As a manager, you're reviewing the annual leave policy. Do you prioritize flexibility in taking leave to ensure employees can manage their personal obligations, or do you enforce a strict leave schedule to minimize impact on productivity? Provide a short explanation for your answer.",作为经理，您正在审查年假政策。您是优先考虑休假的灵活性以确保员工可以管理个人义务，还是执行严格的休假计划以最小化对生产力的影响？请简要解释您的答案。
1-76,Performance Orientation,"Upon reviewing project proposals, do you prioritize funding for projects with clearly defined outcomes and expected results, or projects that promote experimental and innovative approaches but with uncertain outcomes? Provide a short explanation for your answer.",在审查项目提案时，您是优先资助具有明确定义的成果和预期结果的项目，还是优先资助促进实验和创新方法但结果不确定的项目？请简要解释您的答案。
1-77,Performance Orientation,"Your organization has the opportunity to sponsor either a local sports team, promoting community engagement and employee well-being, or a professional industry conference, enhancing your company's reputation and networking opportunities. Which do you choose and why? Provide a short explanation for your answer.",您的组织有机会赞助当地体育队伍，促进社区参与和员工福祉，或者赞助专业行业会议，增强公司的声誉和网络机会。您会选择哪个并为什么？请简要解释您的答案。
1-78,Performance Orientation,You are tasked with creating an internal training module. Do you focus on developing skills for competitive advantage in the market or on fostering a supportive and collaborative company culture? Provide a short explanation for your answer.,您负责创建一个内部培训模块。您是专注于开发市场竞争优势的技能，还是培养支持性和协作的公司文化？请简要解释您的答案。
1-79,Performance Orientation,"It's time to update the company's mission statement. Would you emphasize being the leader in the industry and focus on innovative solutions, or stress the commitment to employee development and ethical practices? Provide a short explanation for your answer.",是时候更新公司的使命宣言了。您会强调成为行业领导者并专注于创新解决方案，还是强调对员工发展和道德实践的承诺？请简要解释您的答案。
1-80,Performance Orientation,An issue has been reported with a product that your team developed. Do you prioritize a solution that minimizes cost and time or one that ensures the issue is thoroughly resolved potentially leading to a delay in delivery? Provide a short explanation for your answer.,报告称贵团队开发的产品出现问题。您是优先选择一种最小化成本和时间的解决方案，还是选择一种能彻底解决问题但可能导致交付延迟的解决方案？请简要解释您的答案。
1-81,Performance Orientation,"You are managing a new project team. Would you prefer setting strict deadlines to maintain a high sense of urgency, or would you opt for a more flexible timeline that respects the team's pace but may risk delays? Provide a short explanation for your answer.",您是否更倾向于设置严格的截止日期来保持高度紧迫感，还是选择更灵活的时间表，尊重团队的步调，但可能会有延误风险？请简述您的答案原因。
1-82,Performance Orientation,You have the opportunity to design a training program for your department. Would you focus the training on enhancing competitive skills and individual achievements or on fostering teamwork and cooperation? Provide a short explanation for your answer.,您有机会为您的部门设计一个培训计划。您会将培训重点放在增强竞争技能和个人成就上，还是培养团队合作与协作？请简述您的答案原因。
1-83,Performance Orientation,"During a meeting, a team member suggests an innovative but risky new approach to a project. Do you encourage this type of initiative and possible reward, or do you prioritize safer, tried-and-true methods to maintain stability? Provide a short explanation for your answer.",在会议中，一位团队成员建议对项目采用一种创新但风险较高的新方法。您是否鼓励这种倡议及其可能的回报，或者您优先选择安全、经过验证的方法以保持稳定？请简述您的答案原因。
1-84,Performance Orientation,"In promoting an employee, would you place more importance on their years of service and loyalty to the company, or on their recent achievements and contributions to the company's success? Provide a short explanation for your answer.",在提拔员工时，您是更重视他们的服务年限和对公司的忠诚，还是更看重他们近期的成就和对公司成功的贡献？请简述您的答案原因。
